TC	SC	Eumhun	PY	MC	MCI	MCF	MCT	OC	Gloss
阿	阿	언덕 아, 호칭 옥	ē	ʔa	ʔ-	-a	even	*qˁar	slope, river bank
婆	婆	할미 파, 할머니 파, 음역자 바	pó	ba	b-	-a	even	*bˁaj {*[b]ˁaj}	ba.sa saunter, dance
皤	皤	머리센모양 파, 말옆걸음칠 반, 흴 파	pó	ba	b-	-a	even	*bˁar {*[b]ˁar}	white, white-haired
大	大	큰 대, 클 태, 클 대, 클 다	dà	daH	d-	-a	departing	*lˁat-s (F!)	big
舵	舵	키 타	duò	daX	d-	-a	rising	*lˁajʔ ~ *C.lˁajʔ	rudder; helm
紽	紽	타래 타	tuó	da	d-	-a	even	*lˁaj	bundle of threads
鹺	鹾	소금 차	cuó	dza	dz-	-a	even	*N-tsˁaj {*N-[ts]ˁaj}	salt
河	河	강 이름 하, 내 하, 물 하	hé	ha	h-	-a	even	*C.ɡˁaj {*C.[ɡ]ˁaj}	river
荷	荷	멜 하, 연 하, 꾸짖을 하, 잗달 가	hé	ha	h-	-a	even	*ɡˁaj {*[ɡ]ˁaj}	lotus
何	何	어찌 하, 멜 하, 꾸짖을 하	hé	ha	h-	-a	even	*ɡˁaj {*[ɡ]ˁaj}	what
歌	歌	노래 가	gē	ka	k-	-a	even	*kˁaj {*[k]ˁaj}	sing, song
个	个	낱 개	gè	kaH	k-	-a	departing	*kˁar-s {*kˁa[r]-s}	tally, piece, item
個	个	낱 개	gè	kaH	k-	-a	departing	*kˁar-s {*kˁa[r]-s}	piece, item
可	可	옳을 가, 오랑캐임금 극, 오랑캐 임금 이름 극	kě	khaX	kh-	-a	rising	*kʰˁajʔ {*[k]ʰˁa[j]ʔ}	may; acceptable
羅	罗	그물 라, 돌 라, 벌일 라, 그물 나	luó	la	l-	-a	even	*rˁaj	a kind of net (on a handle?) (SW: 'bird net')
磨	磨	갈 마, 연자매 마	mó	ma	m-	-a	even	*mˁaj	rub, grind
磨	磨	갈 마, 연자매 마	mó	maH	m-	-a	departing	*mˁaj-s	grinding stone
塺	塺		mò	maH	m-	-a	departing	*mˁaj-s	dust
儺	傩	역귀 쫓을 나, 푸닥거리 나	nuó	naX	n-	-a	rising	*nˁarʔ	rich, beautiful
蛾	蛾	나방 아, 개미 의	é	nga	ng-	-a	even	*ŋˁaj	silkworm
鵝	鹅	거위 아	é	nga	ng-	-a	even	*ŋˁar {*ŋˁa[r]}	goose
餓	饿	주릴 아	è	ngaH	ng-	-a	departing	*ŋˁaj-s	hungry
我	我	나 아	wǒ	ngaX	ng-	-a	rising	*ŋˁajʔ	we, I
番	番	갈마들 번, 날랠 파, 땅 이름 반, 차례 번	bō	pa	p-	-a	even	*pˁar	martial
跛	跛	절뚝발이 파, 기대설 피, 절름발이 파, 비스듬히 설 피	bǒ	paX	p-	-a	rising	*pˁajʔ	walk lame
簸	簸	까부를 파	bǒ	paX	p-	-a	rising	*pˁajʔ	winnow (v.)
簸	簸	까부를 파	bò	paH	p-	-a	departing	*pˁajʔ-s	winnow (v.)
播	播	뿌릴 파, 흔들 파	bò	paH	p-	-a	departing	*pˁarʔ-s	to sow, winnow
破	破	깨뜨릴 파, 무너질 비, 무너질 피	pò	phaH	ph-	-a	departing	*pʰˁaj-s	break (v.)
娑	娑	춤출 사, 사 사, 사바 세상 사	suō	sa	s-	-a	even	*sˁaj	ba.sa saunter, dance
獻	献	바칠 헌, 술그릇 이름 사, 위의 있을 의, 드릴 헌	xiàn	sa	s-	-a	even	*s-ŋˁar	offer, present
多	多	많을 다	duō	ta	t-	-a	even	*t-lˁaj {*[t-l]ˁaj}	many
它	它	뱀 사, 다를 타	tā	tha	th-	-a	even	*l̥ˁaj	another
他	他	다를 타, 겹칠 타	tā	tha	th-	-a	even	*l̥ˁaj (E. dial *l̥ˁ- › th-)	another
左	左	왼 좌	zuǒ	tsaH	ts-	-a	departing	*tsˁajʔ-s {*tsˁa[j]ʔ-s}	assist
佐	佐	도울 좌	zuǒ	tsaH	ts-	-a	departing	*tsˁarʔ-s (dial. *-r › *-j)	aid, assist
左	左	왼 좌	zuǒ	tsaX	ts-	-a	rising	*tsˁajʔ {*tsˁa[j]ʔ}	left (side)
左	左	왼 좌	zuǒ	tsaX	ts-	-a	rising	*tsˁajʔ {*tsˁa[j]ʔ}	assist
磋	磋	갈 차, 삭은 뼈 자	cuō	tsha	tsh-	-a	even	*tsʰˁaj {*[tsʰ]ˁaj}	file, polish (v.)
差	差	어긋날 차, 층질 치, 부릴 차, 부릴 채, 나을 차, 나을 채, 다를 차, 차별 치, 버금 채	cuō	tsha	tsh-	-a	even	*tsʰˁaj {*[tsʰ]ˁaj}	rub, polish, file (v.)
瑳	瑳	깨끗할 차, 고울 차	cuǒ	tshaX	tsh-	-a	rising	*tsʰˁarʔ	white and brilliant
呵	呵	꾸짖을 가, 꾸짖을 하, 어조사 아	hē	xa	x-	-a	even	*qʰˁaj	scold
訶	诃	꾸짖을 가, 꾸짖을 하	hē	xa	x-	-a	even	*qʰˁaj	shout, scold
鴉	鸦	갈가마귀 아	yā	ʔæ	ʔ-	-æ	even	*qˁra	raven, crow
啞	哑	벙어리 아, 웃을 액, 놀라지르는 소리 아	yǎ	ʔæX	ʔ-	-æ	rising	*ʔˁraʔ	mute
亞	亚	버금 아, 누를 압	yà	ʔæH	ʔ-	-æ	departing	*ʔˁrak-s	secondary
耙	耙	써레 파	pá	bæ	b-	-æ	even	*bˁra {*[b]ˁra}	rake (n.)
秅	秅	벼 사백 뭇 차, 벼 사백 뭇 타, 벼 사백 뭇 투	chá	dræ	dr-	-æ	even	*dˁra {*[d]ˁra}	a certain number of sheaves of grain
槎	槎	나무 벨 차, 떼 사	chá	dzræ	dzr-	-æ	even	*dzˁraj {*[dz]ˁraj}	cut trees
槎	槎	나무 벨 차, 떼 사	chá	dzræX	dzr-	-æ	rising	*dzˁrajʔ {*[dz]ˁrajʔ}	to cut trees
