TC	SC	Go-On	Kan-On	Eum	PY	MC	MCI	MCF	MCT	OC	Gloss
阿	阿	あ	あ	아옥	ē	ʔa	ʔ-	-a	even	*qˁar	slope, river bank
婆	婆	ば	は	파파바	pó	ba	b-	-a	even	*bˁaj {*[b]ˁaj}	ba.sa saunter, dance
皤	皤			파반파	pó	ba	b-	-a	even	*bˁar {*[b]ˁar}	white, white-haired
大	大	だ	た	대태대다	dà	daH	d-	-a	departing	*lˁat-s (F!)	big
舵	舵	だ	た	타	duò	daX	d-	-a	rising	*lˁajʔ ~ *C.lˁajʔ	rudder; helm
紽	紽			타	tuó	da	d-	-a	even	*lˁaj	bundle of threads
鹺	鹾			차	cuó	dza	dz-	-a	even	*N-tsˁaj {*N-[ts]ˁaj}	salt
河	河	が	か	하하하	hé	ha	h-	-a	even	*C.ɡˁaj {*C.[ɡ]ˁaj}	river
荷	荷	が	か	하하하가	hé	ha	h-	-a	even	*ɡˁaj {*[ɡ]ˁaj}	lotus
何	何	が	か	하하하	hé	ha	h-	-a	even	*ɡˁaj {*[ɡ]ˁaj}	what
歌	歌	か	か	가	gē	ka	k-	-a	even	*kˁaj {*[k]ˁaj}	sing, song
个	个	か	か	개	gè	kaH	k-	-a	departing	*kˁar-s {*kˁa[r]-s}	tally, piece, item
個	个			개	gè	kaH	k-	-a	departing	*kˁar-s {*kˁa[r]-s}	piece, item
可	可	か	か	가극극	kě	khaX	kh-	-a	rising	*kʰˁajʔ {*[k]ʰˁa[j]ʔ}	may; acceptable
羅	罗	ら	ら	라라라나	luó	la	l-	-a	even	*rˁaj	a kind of net (on a handle?) (SW: 'bird net')
磨	磨	ま	ば	마마	mó	ma	m-	-a	even	*mˁaj	rub, grind
磨	磨	ま	ば	마마	mó	maH	m-	-a	departing	*mˁaj-s	grinding stone
塺	塺				mò	maH	m-	-a	departing	*mˁaj-s	dust
儺	傩	な	だ	나나	nuó	naX	n-	-a	rising	*nˁarʔ	rich, beautiful
蛾	蛾	が	が	아의	é	nga	ng-	-a	even	*ŋˁaj	silkworm
鵝	鹅	が	が	아	é	nga	ng-	-a	even	*ŋˁar {*ŋˁa[r]}	goose
餓	饿	が	が	아	è	ngaH	ng-	-a	departing	*ŋˁaj-s	hungry
我	我	が	が	아	wǒ	ngaX	ng-	-a	rising	*ŋˁajʔ	we, I
番	番	ほん	はん	번파반번	bō	pa	p-	-a	even	*pˁar	martial
跛	跛	は	は	파피파피	bǒ	paX	p-	-a	rising	*pˁajʔ	walk lame
簸	簸	は	は	파	bǒ	paX	p-	-a	rising	*pˁajʔ	winnow (v.)
簸	簸	は	は	파	bò	paH	p-	-a	departing	*pˁajʔ-s	winnow (v.)
播	播	は	は	파파	bò	paH	p-	-a	departing	*pˁarʔ-s	to sow, winnow
破	破	は	は	파비피	pò	phaH	ph-	-a	departing	*pʰˁaj-s	break (v.)
娑	娑	さ	さ	사사사	suō	sa	s-	-a	even	*sˁaj	ba.sa saunter, dance
