	Hunmong	mongeum
天	하ᄂᆞᆯ〮	텬
地	ᄯᅡ〮	디〮
霄	하ᄂᆞᆯ〮	쇼
壤	ᄯᅡ〮	ᅀᅣᇰ〯
乾	하ᄂᆞᆯ〮	건
坤	ᄯᅡ〮	곤
宇	집	우〯
宙	집	듀〯
日	나〮	ᅀᅵᆯ〮
月	ᄃᆞᆯ	월
星	별〯	셔ᇰ
辰	별〯	신
陰	ᄀᆞ〮ᄂᆞᆯ	음
陽	볃	야ᇰ
節	ᄆᆞ〮ᄃᆡ	졀
候	긔운	후
春	봄〮	츈
夏	녀름	하
秋	ᄀᆞᅀᆞᆯ	츄
冬	겨을〮	도ᇰ
晝	낫〮	듀〯
夜	밤〮	야〯
寒	ᄎᆞᆯ〮	한
暑	더울	셔〯
晌	낫〮	샤ᇰ〯
晩	느즐〮	만〯
昏	어ᅀᅳ름	혼
暮	져믈〮	모〮
早	이를	조
晨	새배	신
曉	새배〮	효〯
曙	ᄉᆡᆯ	셔〯
朔	초ᄒᆞᄅᆞ삭
旬	열흘	슌
望	보롬〮	마ᇰ〯
晦	그〮믐〮	회〯
宵	밤〮	쇼
旦	아ᄎᆞᆷ〮	단〯
朝	아ᄎᆞᆷ〮	됴
夕	나죄	셕
歲	ᄒᆡᆺ〮	셰
年	ᄒᆡ〮	년
閏	부를〮	윤〯
臘	나펴ᇰ	납
時	ᄢᅵ니	시
晷	ᄒᆡᆺ〮귀〮	구〯
漏	루〯ᄀᆞᆨ〮	루
刻	사길	ᄀᆞᆨ
雷	울〮에〮	뢰
電	번〮게〮	뎐〯
霹	벼〮락〮	벽〮
靂	벼〮락〮	력〮
風	ᄇᆞᄅᆞᆷ	푸ᇰ
雨	비〮	우〯
霜	서리〮	사ᇰ
露	이슬〮	로〯
雪	눈〮	셜
霰	ᄡᆞ눈〯	션〯
氷	어름〮	비ᇰ
雹	무〮뤼〮	박
雲	구룸〮	운
霞	노을	하
嵐	인애	남
霧	안〯개〮	무〯
虹	므〮지게〮	홍
霓	므〮지게〮	예
蝃	므지게〮	톄〮
蝀	므〮지게〮	도ᇰ〯
霖	오란〮비	림
涷	쇠나기〮	도ᇰ〮
澇	믈〮ᄭᅳ일	로
旱	ᄀᆞ〮ᄆᆞᆯ〮	한〯
